,protein_name,compound_name,smiles,pocket_name,pocket_com,affinity
0,6dlo,,CC1=C(C2=CC=C(F)C=C2)N=C(NC(C2=C(C)C3=C(CCCC3=O)O2)=O)S1,protein_center,"-18.041,-13.011,7.779",4.1143894
1,6dlo,,CC(N(C(NC1C2OC(CC2)C1)=O)C)CS(C)(=O)=O,protein_center,"-18.041,-13.011,7.779",2.183132
2,6dlo,,S(=O)(=O)(C1C=CC2=C(C=1)N=C(N2C1CCCC1)C)N1CCC(CC1)C(=O)NC1=CC=CC(C)=C1C,protein_center,"-18.041,-13.011,7.779",4.622097
3,6dlo,,N1CCCCC1CC1=CC=NC=C1,protein_center,"-18.041,-13.011,7.779",2.2286959
4,6dlo,,N1(CCC2C=CC(CNC(=O)NC3=CC=CC=C3C)=CC1=2)C(C1=CC=CC=C1)=O,protein_center,"-18.041,-13.011,7.779",4.5302753
5,6dlo,,N1(C(CCCC)C(=O)OCC(=O)C2C=CC(=CC=2)C)C(=O)C2=C(C=CC=C2)C1=O,protein_center,"-18.041,-13.011,7.779",2.9398766
6,6dlo,,C1(C(OC)=O)C(C2=CC=CC(OC)=C2)NC(NC=1CN1CCC(CC1)N1CCCCC1)=O,protein_center,"-18.041,-13.011,7.779",3.3474603
7,6dlo,,COC(C(NC(CC1=CN(C)N=C1)=O)CC(C)C)=O,protein_center,"-18.041,-13.011,7.779",2.9511788
8,6dlo,,N1(CCCC1C(=O)NC1C=CC=C(C=1)N1C=CC=N1)CC1=CC=CC=C1F,protein_center,"-18.041,-13.011,7.779",4.379319
9,6dlo,,CN(C(C1=CC2=C(N=C(C=C2)C)C=C1)=O)C1CCN(CC2=CC=CC=C2)CC1,protein_center,"-18.041,-13.011,7.779",5.0704365
10,6dlo,,C12OCCOC1=CC=C(C(CCCCBr)=O)C=2,protein_center,"-18.041,-13.011,7.779",2.7918055
11,6dlo,,COCC1CN(C(NC2C3N(N=CN=3)CCC2)=O)CCC1,protein_center,"-18.041,-13.011,7.779",2.5852396
12,6dlo,,CN1C(=O)CN(C(C2SC3=C(C=CC=N3)N=2)=O)CC1,protein_center,"-18.041,-13.011,7.779",2.4632494
13,6dlo,,C1(=CC=C(C=CC(=O)C2C=CC(=CC=2)C)O1)C1=CC=CC=C1OC,protein_center,"-18.041,-13.011,7.779",5.4737377
14,6dlo,,OC1=C(O)C=C2C(NCCC2=C1)CC1=CC(O)=C(O)C(Br)=C1,protein_center,"-18.041,-13.011,7.779",2.3614955
15,6dlo,,C(=O)(C1=CC=CC=C1OCCOC1=CC=CC=C1)NC(=S)NC1=CC=C(C=C1)OCC1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",5.5545607
16,6dlo,,S(CCCC)(=O)CC(COC(C)C)OC(C)=O,protein_center,"-18.041,-13.011,7.779",2.0623567
17,6dlo,,C(OCC1C=CC=CC=1)(=O)N/C=C/C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",3.1494205
18,6dlo,,C1(=NN=C(SCC(=O)NC2C=CC=C(C)C=2C)S1)NC(C(CC)CC)=O,protein_center,"-18.041,-13.011,7.779",4.4754696
19,6dlo,,C12N(C=NC3SC4CCCCC=4C1=3)N=C(C1C=CC=C(O)C=1)N=2,protein_center,"-18.041,-13.011,7.779",5.851116
20,6dlo,,C1(N=CC=C(C2=CC=CC=C2)N=1)N1CCC2=C(C=CC=C2)C1,protein_center,"-18.041,-13.011,7.779",4.4316645
21,6dlo,,N1(CC2=CC=C(C=C2)Cl)C2C=CC=CC=2C(SCC(=O)NC2C=CC3=C(OCCO3)C=2)=C1,protein_center,"-18.041,-13.011,7.779",5.542673
22,6dlo,,N1C(CC2CCOC3(CCN(CC3)C(=O)C3C=C(Cl)C=CC=3F)C2)=NOC=1C(C)C,protein_center,"-18.041,-13.011,7.779",3.9560518
23,6dlo,,C1(NC(=O)CN2CCCOC3=CC=CC(CCC4CCCCN4CC2)=C3)C=NN(C)C=1C,protein_center,"-18.041,-13.011,7.779",4.290078
24,6dlo,,N1([C@H](CO)C[C@@H](N(C)C)C1)CC1=CC(F)=CC=C1N1C=CC=N1,protein_center,"-18.041,-13.011,7.779",2.6497564
25,6dlo,,C12C=C(C=CC=1C1=C(C=CC=C1)C2)NC(=O)C1C=CC(=CC=1)Br,protein_center,"-18.041,-13.011,7.779",4.867833
26,6dlo,,C1(C(=O)N(CCCC)CC2=CC=CS2)=NN2C(N=C(C=C2C)C)=N1,protein_center,"-18.041,-13.011,7.779",2.4617815
27,6dlo,,O=C(C1=CC=NC=C1)NCCCN1CCCC1,protein_center,"-18.041,-13.011,7.779",2.4708426
28,6dlo,,N1C(SCC(OCC=CC2=CC=CC=C2)=O)=NN=C1C1=CC=NC=C1,protein_center,"-18.041,-13.011,7.779",3.400877
29,6dlo,,C12N=C(C=C(C(OC)=O)C=1C(=NN2C)C)C1=C(C)N(N=C1C)CC,protein_center,"-18.041,-13.011,7.779",1.4565393
30,6dlo,,C1(SC=C(C2C=CC=C(C=2)N(=O)=O)N=1)NC(=O)C=CC1=CC=C(C2C=C(Cl)C=C(Cl)C=2)O1,protein_center,"-18.041,-13.011,7.779",6.0301294
31,6dlo,,C12=NC3C=CC=CC=3N=C1C1C(=CC=C(OC)C=1)N2CCOC1C=CC=CC=1Cl,protein_center,"-18.041,-13.011,7.779",5.4204836
32,6dlo,,N1(CCCC21CCN(CC2)C1=NC=CC=N1)CC1=CC(=NO1)C,protein_center,"-18.041,-13.011,7.779",1.7369347
33,6dlo,,P(O)(O)(=O)CN(CC(CCCC)CC)CP(O)(O)=O,protein_center,"-18.041,-13.011,7.779",3.335154
34,6dlo,,N1(C2C=CC=CC=2OC)C(=O)C(SC1=S)=CC1C=C(OC)C(=CC=1Br)OCC,protein_center,"-18.041,-13.011,7.779",4.229327
35,6dlo,,C12=C(OC)C(OC)=C(C=C1NC(C(CNC1C=CC(=C(OC)C=1)OC)=C2)=O)OC,protein_center,"-18.041,-13.011,7.779",3.5592318
36,6dlo,,N1(C2C=CC=CC=2)N=C(C(C=NNC(=O)C2C=CC(=CC=2)F)=C1O)C,protein_center,"-18.041,-13.011,7.779",2.910409
37,6dlo,,C12=CN(CC3=CC=CC(C)=C3)C3C(=CC(=CC=3)F)C1=NN(CC(=O)NC1=CC=CC(OC)=C1)C2=O,protein_center,"-18.041,-13.011,7.779",4.762802
38,6dlo,,C1(C(OCC)=O)=C(C)N=C(NC(=O)CC(C)C2=CC=CC=C2)S1,protein_center,"-18.041,-13.011,7.779",2.7943795
39,6dlo,,N1(C[C@H]([C@H](C2C=CN=CC=2)C1)CO)C(=O)C1C=CC(=CC=1)OCC,protein_center,"-18.041,-13.011,7.779",3.1383123
40,6dlo,,C1(=C([O-])C2=CC=C(C(Cl)=C2)OC)C(C2C=CC(=CC=2)F)N(C(=O)C1=O)CCC[NH+]1CCOCC1,protein_center,"-18.041,-13.011,7.779",3.567723
41,6dlo,,N(=O)(=O)C1=CC=C(C=C1)C=CC(NCCOC1=CC=C(C=C1)C(C)(C)C)=O,protein_center,"-18.041,-13.011,7.779",5.9907446
42,6dlo,,COC1=CC=C(NC(C(C#N)=CC2=CC=C(OCC=C)C=C2)=O)C=C1,protein_center,"-18.041,-13.011,7.779",5.351122
43,6dlo,,C(=O)(NCC1=CC=C2C(OCO2)=C1)NC1C=CC=CC=1OC,protein_center,"-18.041,-13.011,7.779",3.2670426
44,6dlo,,C12C=C(C=CC=1OC(C)=C2)C(NCCCCCCN)=O.Cl,protein_center,"-18.041,-13.011,7.779",3.9604347
45,6dlo,,N1=C2CCCCCN2N=C1CN(C1=CC=C(C=C1)OCC)C(=O)NC1=CC=C(C=C1)C,protein_center,"-18.041,-13.011,7.779",5.0309744
46,6dlo,,C1(C(=O)NC2C(C)=CC=CC=2C)SC2=C(C(C3=CC=C(C=C3)OC)=CC(C3=CC=CC=C3)=N2)C=1N,protein_center,"-18.041,-13.011,7.779",6.0592556
47,6dlo,,C1(C2=CC=CC=C2)(CC1)C(=O)N1CCN(CC1)C1SC=C(CN2CCOCC2)N=1,protein_center,"-18.041,-13.011,7.779",4.1987557
48,6dlo,,C1(C(C(C)C)N(CC2=CC=CO2)CC2=CC3C(=C(C)C=CC=3)NC2=O)=NN=NN1C(C)(C)C,protein_center,"-18.041,-13.011,7.779",5.183812
49,6dlo,,C1(C2NC=CN=2)N(CCC2=CC=CC=N2)C=NC=1C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",5.5028315
50,6dlo,,COCC(NC(CNS(C1=CC=C(Cl)C=C1)(=O)=O)=O)C,protein_center,"-18.041,-13.011,7.779",2.5486746
51,6dlo,,C(OC(C)(C)C)(=O)N(C1=NC=C(Br)C2NC=NC1=2)C(OC(C)(C)C)=O,protein_center,"-18.041,-13.011,7.779",3.1841466
52,6dlo,,S(=O)(=O)(N(CC)CC)C1=CC=C2C(=C1)N(CC(=O)NC1C=CC(=CC=1)C)C(=O)CCS2,protein_center,"-18.041,-13.011,7.779",4.357798
53,6dlo,,OC(CSC1=C2C(SC(C3=CC=CC=C3)=C2)=NC=N1)=O,protein_center,"-18.041,-13.011,7.779",2.7429254
54,6dlo,,N1(CCCCC1CCOC1C=CC=C(CN(C)CC2C=CC=C3C=CC=NC=23)C=1)C(C(C)C)=O,protein_center,"-18.041,-13.011,7.779",4.205195
55,6dlo,,S(=O)(=O)(C1=CC=C(C=C1)C(C)(C)C)N1CCC(CC1)N1C2=CC=CC=C2NC1=O,protein_center,"-18.041,-13.011,7.779",5.6708364
56,6dlo,,C1(C2=CC=CO2)=NOC(CCN)=N1,protein_center,"-18.041,-13.011,7.779",2.0361931
57,6dlo,,C1(N(C)CC)=CC(C)=C(C=N1)C(CC)O,protein_center,"-18.041,-13.011,7.779",2.3028042
58,6dlo,,C1(CN2CC(C2)N(C2CCOCC2)CC2=CC=CC=C2)SC=NC=1C,protein_center,"-18.041,-13.011,7.779",2.9665377
59,6dlo,,N1=C(CCC(=O)NC2C=CC(=CC=2C)C)ON=C1C1=CC=C(C=C1)OC,protein_center,"-18.041,-13.011,7.779",4.0891476
60,6dlo,,CCC1SC(CNC)=NC=1,protein_center,"-18.041,-13.011,7.779",2.629848
61,6dlo,,N1(C2CCCC2)CC(CC1=O)C(=O)NC1=NN=C(COC2=CC=C(C=C2)Cl)S1,protein_center,"-18.041,-13.011,7.779",3.38664
62,6dlo,,N1=C(CCC(NCCC(OCC)=O)=O)OC(CCCC2=CC=CC=C2)=N1,protein_center,"-18.041,-13.011,7.779",4.268629
63,6dlo,,N1(C2=CC=C(C=C2)Cl)C(SCC(=O)NN=CC2C=CC=CC=2C)=NN=C1C1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",4.8636675
64,6dlo,,C1(NC2C=CC=CC=2)N=C(SCC(=O)N2CCCC2)N=C(NC2C=CC=CC=2)N=1,protein_center,"-18.041,-13.011,7.779",3.0563047
65,6dlo,,N1=C(NCCCOC)C=C(NC2C=CC(C)=CC=2C)N=C1,protein_center,"-18.041,-13.011,7.779",4.0606384
66,6dlo,,C(=S)(NC1C=CC(=C(C)C=1)Cl)N(CCCN1CCCC1)CC1=CC=CO1,protein_center,"-18.041,-13.011,7.779",4.439169
67,6dlo,,N1(C(C)=O)N=C(CC1(O)C(C)(C)C)C(OC)=O,protein_center,"-18.041,-13.011,7.779",2.8932416
68,6dlo,,C1(C(C(O)=O)N(C)CC2C=COC=2)=C(C)N(N=C1C)C,protein_center,"-18.041,-13.011,7.779",1.8209445
69,6dlo,,CN(C(C1CC(NC(C2C3C(=C(C=CC=3)O)CCC2)=O)CCC1)=O)C,protein_center,"-18.041,-13.011,7.779",2.808742
70,6dlo,,C1(N=CC2C=CC=CC=2OC)SC2=C(CCC2)C=1C(OC)=O,protein_center,"-18.041,-13.011,7.779",3.0479445
71,6dlo,,C1(C=CC(=CC=1F)F)C(=O)NC1CCN(CC2C=CC(=NC=2)OC)C1,protein_center,"-18.041,-13.011,7.779",3.68305
72,6dlo,,C1(=NN(C=N1)CC1=CC=CC(=C1)C(F)(F)F)NC(=O)C1C=CC=C(C)C=1,protein_center,"-18.041,-13.011,7.779",4.2922273
73,6dlo,,N1(C2C=CC=C(C=2)NC(CCC)=O)CC(CC1=O)C(Cl)=O,protein_center,"-18.041,-13.011,7.779",1.8691616
74,6dlo,,C(OCC1=CC=CC=C1)(=O)NC1CCN(CCO)C1,protein_center,"-18.041,-13.011,7.779",2.3406472
75,6dlo,,C1(C(=O)N2CCN(CC2)C2C=CC=CC=2)=NOC(C2=CC=C(C=C2)C)=N1,protein_center,"-18.041,-13.011,7.779",3.7601037
76,6dlo,,C12=NN=C(SCC(=O)C3C=CC(=CC=3)OC)N1C1=C(C=CC(=C1)C(=O)NC(C)C)C(=O)N2CCC,protein_center,"-18.041,-13.011,7.779",3.1154492
77,6dlo,,O=S(C1C2C(=NSN=2)C=CC=1)(N1CCN(CC2=CC3=C(OCO3)C=C2)CC1)=O,protein_center,"-18.041,-13.011,7.779",3.894685
78,6dlo,,C(NCCC1C=CC=CC=1)(=O)C(C)OC1=CC=CC=C1,protein_center,"-18.041,-13.011,7.779",3.0889466
79,6dlo,,C1(CNC2=CC=C(C(OC)=C2)OC)=CC2=CC3CCCC=3C=C2NC1=O,protein_center,"-18.041,-13.011,7.779",3.476347
80,6dlo,,C12=NN=C(SCC(OC)=O)N1C1=C(C3=C(COC(C(C)C)C3)S1)C(=O)N2C1C=CC=CC=1,protein_center,"-18.041,-13.011,7.779",2.7650304
81,6dlo,,N1(CCN(C2CCNCC2)C1=O)C(CC)=O,protein_center,"-18.041,-13.011,7.779",1.6440572
82,6dlo,,C1(=CC=CN=C1NCC(N1CCCC1)C1=CC=CC=C1F)C(NC)=O,protein_center,"-18.041,-13.011,7.779",4.1027036
83,6dlo,,C(=O)(N1CCN(CC1)C(=O)CN1C=C(C=N1)NC(COC1=CC=CC=C1)=O)C1=CC=CC=C1OC,protein_center,"-18.041,-13.011,7.779",4.4263296
84,6dlo,,N1C(C(OCC)=O)=COC=1N1CCC2=C(C(=NN2)C2C=CC=CC=2)CC1,protein_center,"-18.041,-13.011,7.779",3.0115728
