,pdb_code,pdb_fpath,datagroup,release_year
0,1ai5,../../data/pdbbind2020/refined-set/1ai5/1ai5_protein.pdb,refined,1997
1,1thz,../../data/pdbbind2020/refined-set/1thz/1thz_protein.pdb,refined,2004
2,4xiq,../../data/pdbbind2020/refined-set/4xiq/4xiq_protein.pdb,refined,2015
3,3eqr,../../data/pdbbind2020/refined-set/3eqr/3eqr_protein.pdb,refined,2008
4,6d2o,../../data/pdbbind2020/refined-set/6d2o/6d2o_protein.pdb,refined,2018
5,4pvy,../../data/pdbbind2020/refined-set/4pvy/4pvy_protein.pdb,refined,2015
6,5m23,../../data/pdbbind2020/refined-set/5m23/5m23_protein.pdb,refined,2017
7,3own,../../data/pdbbind2020/refined-set/3own/3own_protein.pdb,refined,2010
8,4lhv,../../data/pdbbind2020/refined-set/4lhv/4lhv_protein.pdb,refined,2013
9,4r4t,../../data/pdbbind2020/refined-set/4r4t/4r4t_protein.pdb,refined,2014
10,1i7z,../../data/pdbbind2020/refined-set/1i7z/1i7z_protein.pdb,refined,2001
11,1zdp,../../data/pdbbind2020/refined-set/1zdp/1zdp_protein.pdb,refined,2005
12,6czc,../../data/pdbbind2020/refined-set/6czc/6czc_protein.pdb,refined,2018
13,3ujd,../../data/pdbbind2020/refined-set/3ujd/3ujd_protein.pdb,refined,2011
14,2jg0,../../data/pdbbind2020/refined-set/2jg0/2jg0_protein.pdb,refined,2007
15,2qtg,../../data/pdbbind2020/refined-set/2qtg/2qtg_protein.pdb,refined,2008
16,1jjt,../../data/pdbbind2020/v2020-other-PL/1jjt/1jjt_protein.pdb,general,2001
17,3dsu,../../data/pdbbind2020/v2020-other-PL/3dsu/3dsu_protein.pdb,general,2008
18,2p0d,../../data/pdbbind2020/v2020-other-PL/2p0d/2p0d_protein.pdb,general,2007
19,5h17,../../data/pdbbind2020/v2020-other-PL/5h17/5h17_protein.pdb,general,2017
20,4l31,../../data/pdbbind2020/v2020-other-PL/4l31/4l31_protein.pdb,general,2013
21,4xg7,../../data/pdbbind2020/v2020-other-PL/4xg7/4xg7_protein.pdb,general,2015
22,3oj8,../../data/pdbbind2020/v2020-other-PL/3oj8/3oj8_protein.pdb,general,2011
23,2c5y,../../data/pdbbind2020/v2020-other-PL/2c5y/2c5y_protein.pdb,general,2006
24,3unk,../../data/pdbbind2020/v2020-other-PL/3unk/3unk_protein.pdb,general,2012
25,5oq5,../../data/pdbbind2020/v2020-other-PL/5oq5/5oq5_protein.pdb,general,2017
26,5alt,../../data/pdbbind2020/v2020-other-PL/5alt/5alt_protein.pdb,general,2015
27,2nng,../../data/pdbbind2020/v2020-other-PL/2nng/2nng_protein.pdb,general,2007
28,5mnb,../../data/pdbbind2020/v2020-other-PL/5mnb/5mnb_protein.pdb,general,2017
29,5t52,../../data/pdbbind2020/v2020-other-PL/5t52/5t52_protein.pdb,general,2016
30,6e91,../../data/pdbbind2020/v2020-other-PL/6e91/6e91_protein.pdb,general,2019
