,pdb_code,pdb_group
0,2i4d,refined
1,1ony,refined
2,1c70,refined
3,5vh0,refined
4,2pk5,refined
5,4ykj,refined
6,1hee,refined
7,1ii5,refined
8,1pb8,refined
9,2pvl,refined
10,3ifl,refined
11,5fov,refined
12,5vi6,refined
13,1jet,refined
14,4hp0,refined
15,4det,refined
16,6arn,refined
17,1b8y,refined
18,1bnn,refined
19,1pfu,refined
20,6pu3,refined
21,1mue,refined
22,5e6o,refined
23,1jzs,refined
24,2olb,refined
25,1usk,refined
26,1bq4,refined
27,3nim,refined
28,2cgr,refined
29,3pcj,refined
30,1m7d,refined
31,2wlz,refined
32,1j36,refined
33,1flr,refined
34,1mes,refined
35,6im4,refined
36,1hvi,refined
37,1hvl,refined
38,5gs9,refined
39,5u4d,refined
40,6hmg,refined
41,1fkf,refined
42,1aid,refined
43,1tsy,refined
44,1bnt,refined
45,1l8g,refined
46,2pvk,refined
47,5e8f,refined
48,1b5j,refined
49,2exm,refined
50,1siv,refined
51,4ou3,refined
52,5dgu,refined
53,4q90,refined
54,5cbm,refined
55,1drv,refined
56,3gss,refined
57,1jsv,refined
58,1cnw,refined
59,3pcn,refined
60,2x6x,refined
61,1m5w,refined
62,1zoh,refined
63,1zog,refined
64,1gx8,refined
65,1nny,refined
66,1dqn,refined
67,1b3g,refined
68,2wm0,refined
69,1mrx,refined
70,3muz,refined
71,2vo4,refined
72,1xbo,refined
73,1np0,refined
74,1c88,refined
75,2pvh,refined
76,1dhj,refined
77,1k6p,refined
78,2f7i,refined
79,1str,refined
80,4kqp,refined
81,3fuc,refined
82,1lyb,refined
83,1m0q,refined
84,1f4e,refined
85,1mrw,refined
86,1eb2,refined
87,1b4z,refined
88,1ez9,refined
89,2xxr,refined
90,1dhi,refined
91,4b5s,refined
92,1rpf,refined
93,1m7i,refined
94,5fot,refined
95,2xxx,refined
96,2bok,refined
97,1ppl,refined
98,1sv3,refined
99,1ppk,refined
100,3b3s,refined
101,1w9v,refined
102,5izj,refined
103,4j46,refined
104,1fch,refined
105,4m7j,refined
106,4gzw,refined
107,6q3q,refined
108,6cdp,refined
109,1cnx,refined
110,3drg,refined
111,6n5x,refined
112,1mai,refined
113,1d3d,refined
114,2h21,refined
115,4o9w,refined
116,5yas,refined
117,2h4g,refined
118,1ta6,refined
119,4ynl,refined
120,4ad2,refined
121,4x3k,refined
122,2h4n,refined
123,2ra6,refined
124,5e3a,refined
125,1add,refined
126,1ppc,refined
127,3kr4,refined
128,1qb9,refined
129,3c89,refined
130,1b51,refined
131,3ove,refined
132,1fkg,refined
133,1w11,refined
134,1sld,refined
135,1upf,refined
136,1m2p,refined
137,2za5,refined
138,6cdo,refined
139,5btv,refined
140,2pk6,refined
141,4ezx,refined
142,1hvr,refined
143,1ohr,refined
144,1b0h,refined
145,1ceb,refined
146,1if7,refined
147,6ghj,refined
148,1elr,refined
149,2vsl,refined
150,1afk,refined
151,4pg9,refined
152,1hwr,refined
153,4omk,refined
154,1b52,refined
155,2arm,refined
156,1qbn,refined
157,1hih,refined
158,1mtr,refined
159,1m2r,refined
160,1tom,refined
161,1bxr,refined
162,1usn,refined
163,1if8,refined
164,5lyr,refined
165,3t6b,refined
166,4llp,refined
167,5ihh,refined
168,1g52,refined
169,4j47,refined
170,3c88,refined
171,3bpc,refined
172,3t0b,refined
173,6epy,refined
174,2r23,refined
175,1no6,refined
176,1x8j,refined
177,4y3j,refined
178,1ork,refined
179,1qhc,refined
180,1tcx,refined
181,1g46,refined
182,1n51,refined
183,6idb,refined
184,1qan,refined
185,2vnt,refined
186,1bma,refined
187,1rtf,refined
188,1hmt,refined
189,1nh0,refined
190,2vj8,refined
191,2bpv,refined
192,1n4k,refined
193,1zgi,refined
194,2ce9,refined
195,5l3a,refined
196,2r0h,refined
197,5azf,refined
198,4j48,refined
199,2r0z,refined
200,1ppi,refined
201,1c83,refined
202,1g48,refined
203,2zx7,refined
204,1hi3,refined
205,2wzf,refined
206,1hmr,refined
207,1e3v,refined
208,3qfz,refined
209,2qg2,refined
210,6cpa,refined
211,6upj,refined
212,6om8,refined
213,2bpy,refined
214,1njc,refined
215,1afl,refined
216,1fh9,refined
217,3nik,refined
218,2wyf,refined
219,6eeb,refined
220,4i7k,refined
221,2i4u,refined
222,3qw5,refined
223,1txr,refined
224,1hpx,refined
225,7upj,refined
226,6mu3,refined
227,4kx8,refined
228,1km3,refined
229,1yvm,refined
230,1uvt,refined
231,1e5j,refined
232,456c,refined
233,3dri,refined
234,3v2p,refined
235,1hi5,refined
236,1mmr,refined
237,3ueu,refined
238,2pvm,refined
239,4n5d,refined
240,1pph,refined
241,1qbs,refined
242,1bnq,refined
243,1w3l,refined
244,2sim,refined
245,1grp,refined
246,2f1g,refined
247,2r1y,refined
248,1n3i,refined
249,2gyi,refined
250,1c3x,refined
251,2evl,refined
252,1hi4,refined
253,1gnm,refined
254,1lvu,refined
255,1qbq,refined
256,4czs,refined
257,1d4p,refined
258,5th4,refined
259,6hza,refined
260,1yei,refined
261,1b32,refined
262,1gfy,refined
263,1qka,refined
264,4ts1,refined
265,4o6w,refined
266,1fzk,refined
267,1wht,refined
268,2rkm,refined
269,1kv1,refined
270,5jzi,refined
271,1yej,refined
272,4std,refined
273,1hxw,refined
274,5er2,refined
275,1pvn,refined
276,1fh7,refined
277,3bv9,refined
278,2pvj,refined
279,1fkb,refined
280,1gnn,refined
281,1mmq,refined
282,2hhn,refined
283,2b9a,refined
284,1sl3,refined
285,1w9u,refined
286,1bnu,refined
287,2vhj,refined
288,1zoe,refined
289,2std,refined
290,4lxz,refined
291,1lst,refined
292,1i37,refined
293,2uxz,refined
294,4cpw,refined
295,1fpc,refined
296,3c8b,refined
297,1bv7,refined
298,4in9,refined
299,6eqx,refined
300,1ado,refined
301,2aoe,refined
302,6nsv,refined
303,4yrd,refined
304,1qbr,refined
305,4tim,refined
306,1t5f,refined
307,3ng4,refined
308,1hlk,refined
309,1qbt,refined
310,4nl1,refined
311,1a1e,refined
312,5fou,refined
313,6a87,refined
314,1izh,refined
315,3buh,refined
316,1b05,refined
317,1ela,refined
318,2o4k,refined
